Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Brenden Aaronson,USA,MF,Union Berlin,23,2000,27,12,1090,12.1,2,0,2,2,0,0,3,1,1.8,1.8,1.3,3.1,29,43,74,0.17,0.00,0.17,0.17,0.17,0.15,0.11,0.25,0.15,0.25
Paxten Aaronson,USA,MF,Eint Frankfurt,20,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19
Junior Adamu,AUT,FW,Freiburg,22,2001,14,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16
Sargis Adamyan,ARM,FW,Köln,30,1993,18,7,749,8.3,1,2,3,1,0,0,2,0,4.1,4.1,2.0,6.1,15,18,41,0.12,0.24,0.36,0.12,0.36,0.49,0.24,0.73,0.49,0.73
Karim Adeyemi,GER,FW,Dortmund,22,2002,19,9,825,9.2,3,1,4,3,0,0,6,1,2.8,2.8,1.5,4.4,43,21,87,0.33,0.11,0.44,0.33,0.44,0.31,0.17,0.48,0.31,0.48
Amine Adli,MAR,MF,Leverkusen,23,2000,21,7,814,9.0,3,5,8,3,0,0,5,0,2.4,2.4,1.6,4.0,30,31,121,0.33,0.55,0.88,0.33,0.88,0.26,0.18,0.44,0.26,0.44
Felix Agu,GER,DF,Werder Bremen,24,1999,21,16,1373,15.3,0,0,0,0,0,0,2,0,0.6,0.6,0.3,1.0,27,26,72,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Ludovic Ajorque,FRA,FW,Mainz 05,30,1994,24,14,1272,14.1,2,0,2,2,0,2,4,0,5.0,3.4,0.9,4.4,3,20,77,0.14,0.00,0.14,0.14,0.14,0.36,0.06,0.42,0.24,0.31
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,14,8,827,9.2,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,7,44,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
Faride Alidou,GER,FW,Köln,22,2001,23,11,1080,12.0,4,0,4,4,0,0,4,0,2.0,2.0,0.6,2.6,45,32,83,0.33,0.00,0.33,0.33,0.33,0.17,0.05,0.21,0.17,0.21
Skelly Alvero,FRA,MF,Werder Bremen,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.00,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
Nadiem Amiri,GER,MF,Mainz 05,27,1996,13,13,1136,12.6,1,3,4,1,0,1,5,0,1.9,1.1,3.6,4.7,14,80,19,0.08,0.24,0.32,0.08,0.32,0.15,0.28,0.44,0.09,0.37
Nadiem Amiri,GER,MF,Leverkusen,27,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,6,6,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16
Kofi Amoako,GER,MF,Wolfsburg,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Robert Andrich,GER,MF,Leverkusen,29,1994,25,15,1428,15.9,3,2,5,3,0,0,4,0,1.1,1.1,1.4,2.6,18,82,10,0.19,0.13,0.32,0.19,0.32,0.07,0.09,0.16,0.07,0.16
Waldemar Anton,GER,DF,Stuttgart,27,1996,30,29,2616,29.1,0,3,3,0,0,0,5,0,1.4,1.4,1.0,2.4,35,158,12,0.00,0.10,0.10,0.00,0.10,0.05,0.03,0.08,0.05,0.08
Christopher Antwi-Adjei,GHA,FW,Bochum,30,1994,23,11,1178,13.1,1,2,3,1,0,0,5,0,1.9,1.9,3.4,5.3,49,28,131,0.08,0.15,0.23,0.08,0.23,0.14,0.26,0.40,0.14,0.40
