Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Performance_rating
Calvin Bassey,NGA,DF,Fulham,24.0,1999.0,26,22,2033,22.6,0.04,0.0,0.04,0.22,DF,Fulham,1.95,1.11,0.8,1.11,72.0,0.31,1.15,0.4,0.75,1.19,3.14,3.36,0.18,13.16
Amari'i Bell,JAM,DF,Luton Town,29.0,1994.0,21,21,1720,19.1,0.0,0.0,0.0,0.0,DF,Luton Town,2.62,1.73,1.15,1.83,62.9,0.68,1.73,0.79,0.94,1.31,3.93,3.14,0.05,15.3
Jayden Bogle,ENG,DF,Sheffield Utd,23.0,2000.0,31,29,2518,28.0,0.11,0.0,0.0,0.32,DF,Sheffield Utd,2.18,1.14,1.18,2.32,50.8,1.14,1.43,0.39,1.04,1.04,3.21,3.07,0.0,13.02
Jarrad Branthwaite,ENG,DF,Everton,21.0,2002.0,32,32,2846,31.6,0.09,0.0,0.0,0.25,DF,Everton,1.9,0.95,1.33,1.77,75.0,0.44,1.36,0.98,0.38,1.55,3.45,4.65,0.03,17.03
Dan Burn,ENG,DF,Newcastle Utd,31.0,1992.0,29,28,2366,26.3,0.08,0.08,0.0,0.11,DF,Newcastle Utd,2.05,1.06,0.84,2.17,38.6,1.33,1.79,0.76,1.03,1.33,3.38,4.14,0.04,15.98
Diego Carlos,BRA,DF,Aston Villa,31.0,1993.0,24,17,1546,17.2,0.0,0.0,0.0,0.23,DF,Aston Villa,1.45,0.81,0.76,1.16,65.0,0.41,1.1,0.81,0.29,0.76,2.21,3.84,0.17,11.82
Matty Cash,POL,DF,Aston Villa,26.0,1997.0,28,23,2077,23.1,0.09,0.09,0.0,0.3,DF,Aston Villa,2.21,1.26,1.17,2.38,49.1,1.21,1.52,0.61,0.91,0.78,2.99,2.42,0.0,11.47
Timothy Castagne,BEL,DF,Fulham,28.0,1995.0,31,27,2453,27.3,0.04,0.11,0.0,0.11,DF,Fulham,1.65,0.81,0.88,1.5,58.5,0.62,1.28,0.33,0.95,1.39,3.04,2.23,0.04,11.44
Nathan Collins,IRL,DF,Brentford,23.0,2001.0,30,27,2472,27.5,0.04,0.04,0.0,0.11,DF,Brentford,1.31,0.73,0.69,1.05,65.5,0.36,1.53,0.98,0.55,1.45,2.76,4.95,0.15,16.39
Levi Colwill,ENG,DF,Chelsea,21.0,2003.0,23,20,1797,20.0,0.05,0.05,0.0,0.1,DF,Chelsea,2.4,1.5,1.3,1.7,76.5,0.4,1.4,0.5,0.9,1.3,3.7,3.3,0.0,15.35
Vladimír Coufal,CZE,DF,West Ham,31.0,1992.0,33,33,2862,31.8,0.0,0.22,0.03,0.22,DF,West Ham,1.82,1.19,1.07,2.04,52.3,0.97,1.32,0.35,0.97,1.23,3.05,2.89,0.0,13.39
Diogo Dalot,POR,DF,Manchester Utd,25.0,1999.0,32,31,2814,31.3,0.03,0.1,0.03,0.19,DF,Manchester Utd,2.3,1.41,1.41,2.04,68.8,0.64,1.34,0.48,0.86,1.12,3.42,3.0,0.0,13.79
Craig Dawson,ENG,DF,Wolves,33.0,1990.0,25,25,2209,24.5,0.04,0.04,0.0,0.29,DF,Wolves,1.22,0.82,0.9,1.39,64.7,0.49,2.08,1.59,0.49,0.65,1.88,4.9,0.04,14.2
Rúben Dias,POR,DF,Manchester City,26.0,1997.0,27,25,2289,25.4,0.0,0.0,0.0,0.0,DF,Manchester City,1.42,0.71,0.71,0.98,72.0,0.28,1.18,0.63,0.55,0.98,2.4,2.87,0.0,10.81
Lucas Digne,FRA,DF,Aston Villa,30.0,1993.0,30,24,2141,23.8,0.04,0.13,0.0,0.25,DF,Aston Villa,1.72,0.76,0.97,1.72,56.1,0.76,0.63,0.08,0.55,1.01,2.73,2.27,0.0,10.23
Axel Disasi,FRA,DF,Chelsea,26.0,1998.0,30,29,2571,28.6,0.07,0.0,0.0,0.21,DF,Chelsea,1.15,0.66,0.8,1.05,76.7,0.24,0.91,0.66,0.24,0.63,1.78,3.57,0.07,11.08
Alfie Doughty,ENG,DF,Luton Town,24.0,1999.0,34,31,2659,29.5,0.03,0.24,0.0,0.14,DF,Luton Town,1.93,1.22,1.12,2.54,44.0,1.42,1.49,0.24,1.25,0.98,2.92,1.22,0.1,9.6
Lewis Dunk,ENG,DF,Brighton,32.0,1991.0,30,30,2644,29.4,0.1,0.03,0.03,0.2,DF,Brighton,0.85,0.41,0.41,1.12,36.4,0.71,1.6,1.22,0.37,1.02,1.87,2.62,0.03,9.87
Toti Gomes,POR,DF,Wolves,25.0,1999.0,32,28,2503,27.8,0.04,0.11,0.0,0.22,DF,Wolves,1.55,0.9,0.83,1.22,67.6,0.4,1.29,0.58,0.72,0.86,2.41,2.99,0.04,11.53
Joe Gomez,ENG,DF,Liverpool,26.0,1997.0,30,16,1669,18.5,0.0,0.05,0.0,0.27,DF,Liverpool,2.43,1.57,1.51,3.24,46.7,1.73,1.41,0.22,1.19,0.92,3.35,2.54,0.11,12.21
Marc Guéhi,ENG,DF,Crystal Palace,23.0,2000.0,22,22,1912,21.2,0.0,0.05,0.0,0.09,DF,Crystal Palace,1.23,0.8,0.61,1.08,56.5,0.47,1.04,0.8,0.24,0.85,2.08,4.06,0.05,13.03
Malo Gusto,FRA,DF,Chelsea,20.0,2003.0,23,18,1615,17.9,0.0,0.28,0.06,0.34,DF,Chelsea,2.79,1.34,1.73,2.63,66.0,0.89,1.56,0.22,1.34,0.84,3.63,2.18,0.06,11.1
